magician,wizard,0.85
announcement,effort,0.37
planet,galaxy,0.95
tiger,tiger,1.0
stock,phone,0.46
monk,oracle,0.65
oil,stock,0.56
profit,loss,0.66
food,preparation,0.61
energy,laboratory,0.76
record,number,0.72
deployment,departure,0.7
president,medal,0.42
tennis,racket,0.4
space,world,0.57
lover,quarrel,0.45
precedent,example,0.64
professor,cucumber,0.3
century,nation,0.16
drink,ear,0.65
game,team,0.93
precedent,cognition,0.41
cup,tableware,0.3
lobster,wine,0.81
money,operation,0.79
cemetery,woodland,0.68
announcement,production,0.84
development,issue,0.85
prejudice,recognition,0.58
lad,wizard,0.76
vodka,gin,0.77
investor,earning,0.32
space,chemistry,0.8
family,planning,0.63
tiger,feline,0.88
plane,car,0.93
observation,architecture,0.82
life,lesson,0.5
bank,money,0.73
drink,mouth,0.49
five,month,0.52
lobster,food,0.75
death,inmate,0.46
morality,marriage,0.71
tiger,jaguar,0.95
fuck,sex,0.56
movie,critic,0.36
cell,phone,0.65
money,dollar,0.39
production,hike,0.53
energy,secretary,0.74
movie,popcorn,0.58
cucumber,potato,0.49
preservation,world,0.56
day,summer,0.59
gender,equality,0.61
profit,warning,0.77
tool,implement,0.51
king,queen,0.94
theater,history,0.82
possibility,girl,0.56
concert,virtuoso,0.66
cup,entity,0.26
situation,isolation,0.6
planet,constellation,0.93
fighting,defeating,0.64
opera,performance,0.58
credit,card,0.56
baseball,season,0.23
death,row,0.33
listing,category,0.06
life,term,0.4
minister,party,0.43
skin,eye,0.9
game,victory,0.54
game,defeat,0.64
coast,forest,0.62
aluminum,metal,0.51
delay,racism,0.51
monk,slave,0.78
bird,crane,0.83
psychology,health,0.74
television,film,0.45
liability,insurance,0.5
psychology,mind,0.76
crane,implement,0.43
street,avenue,0.84
canyon,landscape,0.78
money,bank,0.73
boxing,round,0.29
decoration,valor,0.8
planet,astronomer,0.47
money,property,0.84
money,laundering,0.16
coast,shore,0.84
tiger,carnivore,0.67
music,project,0.7
smart,stupid,0.82
sign,recess,0.58
credit,information,0.58
size,prominence,0.26
direction,combination,0.73
shore,woodland,0.59
stroke,hospital,0.63
announcement,news,0.72
closet,clothes,0.59
holy,sex,0.43
hundred,percent,0.09
competition,price,0.79
consumer,energy,0.79
telephone,communication,0.55
opera,industry,0.63
rock,jazz,0.76
word,similarity,0.63
summer,drought,0.51
street,block,0.69
arrangement,accommodation,0.6
attempt,peace,0.15
shower,thunderstorm,0.72
planet,star,0.73
rooster,voyage,0.7
planet,people,0.52
noon,string,0.25
image,surface,0.75
stock,life,0.46
bed,closet,0.76
dollar,profit,0.4
tiger,mammal,0.47
precedent,collection,0.6
psychology,anxiety,0.79
viewer,serial,0.71
cup,object,0.25
shower,flood,0.83
journal,association,0.82
computer,laboratory,0.77
chance,credibility,0.64
gem,jewel,0.94
start,year,0.67
vodka,brandy,0.93
problem,airport,0.71
precedent,law,0.64
love,sex,0.74
stock,live,0.39
cup,food,0.33
century,year,0.17
movie,theater,0.72
benchmark,index,0.65
reason,hypertension,0.28
drink,mother,0.39
jaguar,car,0.93
money,currency,0.83
football,basketball,0.69
planet,sun,0.95
dollar,loss,0.34
dollar,yen,0.6
situation,conclusion,0.83
report,gain,0.59
victim,emergency,0.59
journey,car,0.8
jaguar,cat,0.96
train,car,0.83
furnace,stove,0.84
news,report,0.72
admission,ticket,0.56
money,cash,0.75
cup,drink,0.27
type,kind,0.94
television,radio,0.65
chord,smile,0.78
fertility,egg,0.57
country,citizen,0.45
street,place,0.59
dividend,payment,0.73
month,hotel,0.73
peace,atmosphere,0.85
