president,medal,0.05
tennis,racket,0.1
space,world,0.06
lover,quarrel,0.2
precedent,example,0.18
professor,cucumber,0.03
century,nation,0.05
drink,ear,0.16
game,team,0.22
precedent,cognition,0.14
cup,tableware,0.05
lobster,wine,0.21
money,operation,0.09
cemetery,woodland,0.26
announcement,production,0.1
development,issue,0.09
prejudice,recognition,0.17
lad,wizard,0.21
vodka,gin,0.26
investor,earning,0.17
space,chemistry,0.14
family,planning,0.07
tiger,feline,0.19
plane,car,0.31
observation,architecture,0.13
life,lesson,0.15
bank,money,0.14
drink,mouth,0.12
five,month,0.07
lobster,food,0.21
death,inmate,0.13
morality,marriage,0.15
tiger,jaguar,0.37
fuck,sex,0.14
movie,critic,0.11
cell,phone,0.15
money,dollar,0.26
production,hike,0.08
energy,secretary,0.04
movie,popcorn,0.14
cucumber,potato,0.43
preservation,world,0.08
day,summer,0.16
gender,equality,0.38
profit,warning,0.15
tool,implement,0.37
king,queen,0.27
theater,history,0.14
possibility,girl,0.04
concert,virtuoso,0.23
cup,entity,0.04
situation,isolation,0.28
planet,constellation,0.14
fighting,defeating,0.16
opera,performance,0.12
credit,card,0.2
baseball,season,0.15
death,row,0.07
listing,category,0.09
life,term,0.08
minister,party,0.09
skin,eye,0.42
game,victory,0.18
game,defeat,0.14
coast,forest,0.11
aluminum,metal,0.54
delay,racism,0.2
monk,slave,0.24
bird,crane,0.33
psychology,health,0.24
television,film,0.38
liability,insurance,0.41
psychology,mind,0.18
crane,implement,0.14
street,avenue,0.62
canyon,landscape,0.19
money,bank,0.14
boxing,round,0.08
decoration,valor,0.17
planet,astronomer,0.06
money,property,0.23
money,laundering,0.16
coast,shore,0.4
tiger,carnivore,0.16
music,project,0.12
smart,stupid,0.33
sign,recess,0.09
credit,information,0.28
size,prominence,0.15
direction,combination,0.14
shore,woodland,0.18
stroke,hospital,0.12
announcement,news,0.19
closet,clothes,0.22
holy,sex,0.06
hundred,percent,0.27
competition,price,0.07
consumer,energy,0.3
telephone,communication,0.36
opera,industry,0.07
rock,jazz,0.48
word,similarity,0.13
summer,drought,0.08
street,block,0.17
arrangement,accommodation,0.27
attempt,peace,0.05
shower,thunderstorm,0.21
planet,star,0.23
rooster,voyage,0.1
planet,people,0.11
noon,string,0.09
image,surface,0.22
stock,life,0.05
bed,closet,0.23
dollar,profit,0.24
tiger,mammal,0.18
precedent,collection,0.09
psychology,anxiety,0.19
viewer,serial,0.17
cup,object,0.02
shower,flood,0.19
journal,association,0.23
computer,laboratory,0.36
chance,credibility,0.12
gem,jewel,0.34
start,year,0.05
vodka,brandy,0.26
problem,airport,0.07
precedent,law,0.2
love,sex,0.19
stock,live,0.08
cup,food,0.04
century,year,0.16
movie,theater,0.23
benchmark,index,0.31
reason,hypertension,0.05
drink,mother,0.08
jaguar,car,0.28
money,currency,0.27
football,basketball,0.6
planet,sun,0.18
dollar,loss,0.08
dollar,yen,0.36
situation,conclusion,0.25
report,gain,0.1
victim,emergency,0.13
journey,car,0.11
jaguar,cat,0.32
train,car,0.36
furnace,stove,0.31
news,report,0.22
admission,ticket,0.25
money,cash,0.47
cup,drink,0.06
type,kind,0.27
television,radio,0.56
chord,smile,0.22
fertility,egg,0.18
country,citizen,0.11
street,place,0.14
dividend,payment,0.37
month,hotel,0.03
peace,atmosphere,0.11
